,room,size,floor,total_floors,address,area,agent,start_time,url,Description,price
0,3,52.0,2,5,"ул. Софьи Ковалевской, 16А",р-н Перевалка,Агентство,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_52m_25et._2361557468,"Светлая 3-комнатная квартира 2014 года постройки с видом на лесной массив. 

Просторная кухня, остаётся встроенная кухня. 
Сан. Узел совмещённый, кафель, современная сантехника. 
Отдельная спальня и детская комната. 
Большой коридор и прихожая. В прихожей установлен шкаф-купе с зеркалом, входная дверь железная, домофон. На окнах экологичные деревянные стеклопакеты. Балкон утеплён и оборудован в рабочий кабинет. 

Экологически чистый район, во дворе дома лесная зона для прогулок. Развитая инфраструктура: магазины, торговые центры, аптеки, школа, детские сады, бассейн, тренажёрный зал, остановка общественного транспорта, перинатальный центр.",6000000
1,3,63.0,15,25,"ул. Чапаева, 50",р-н Перевалка,Агентство,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_63m_1525et._2362441821,"Если вам понравился вариант, но у вас не продана своя недвижимость, поможем вам в этом вопросе. Работаем более 10 лет, с нами оперативно, выгодно, надежно.

Уважаемые покупатели вашему вниманию предлагается отличный вариант 3-квартиры практически в центре города в монолитном доме 2022 г. П.

Преимущество данного варианта: 

-низкие коммунальные платежи за счёт крышной газовой котельни, 

- раздельные комнаты, 

- просторная кухня — студия, 

- большая ванная, 

- гардеробная, 

- современный дизайнерский ремонт, 

- бесшумные лифты, 

- система видеонаблюдения по периметру и внутри дома, 

- красивая парадная.

При продаже остаётся вся мебель и техника! 

Рассмотрим вариант обмена.

- 0,3 ставки по ипотеке.",7150000
2,3,74.0,1,2,"Первомайский пр-т, 28А",р-н Первомайский,Собственик,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_74m_12et._2312522012,"В продаже 3-комнатная квартира общей площадью 74 кв. М расположенная по адресу пр. Первомайский 28 А.

Квартира находится на первом этаже двухэтажного дома. 
Лестничная клетка на две квартиры (всего четыре квартиры в подъезде — две на первом этаже и две на втором). 

В квартире три больших раздельных комнаты, просторная прихожая, санузел, кухня, ванная и большая лоджия. В доме высокие потолки. 

В квартире центральное отопление. Горячая водоснабжение — электрический бойлер. Стояк Хвс и подводка по всей квартире менялись. 

Большим преимуществом является расположение дома. Центр, магазины, школы, детские сады, колледжи, поликлиники (детская и взрослая) остановки общественного транспорта в шаговой доступности. 

Просторная квартира с хорошей планировкой по доступной цене. 
Продажа только за наличный расчёт. 

Агентам недвижимости/риэлторам- Без Реальных Покупателей не беспокоить- просмотр и на все вопросы -только вживую, (агентам-визит и вопросы только вместе с покупателем, на диалог по телефону не тратьте время). Лучше звоните. 

Данный дом в 2023 году идет под расселение, в связи с чем приобретение квартиры возможно только за наличный расчет.",2850000
3,1,30.4,4,4,"Пушкинская ул., 3А",р-н Центр,Собственик,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/1-k._kvartira_304m_44et._2378469999,"Предлагайте свою цену. (10-14 дней, потом продажа). 
Центр. Второй дом от воды (от берега Онего, что в 200 м.), из окна видно озеро. Рядом набережная (парк, дорожки для прогулок, подсветка, много открытых спорт. Тренажёров). В 100 — 300 метрах от дома Законодательное собрание, прокуратура республики, музеи, театры, Вск ""Акватика, речной вокзал, летний парк атракционов, а так же, набережная реки Лососинки. В 500-600 метрах от дома городская администрация, Мвд, Мчс, филармония, аптеки, торг. Центры и т. Д. Остановки общ. Транспорта в 70 метрах, прод. Магазины от 100 метров. В ближних окрестностях гипермаркет ""Магнит"", поликлиники, собор Рпц. 

Дом кирпичный, с Ж/Б-перекрытиями. Квартира и всё, что в ней в отличном состоянии. Ламинат, керамика, натяжные потолки, окна — стеклопакеты. Балкон застеклён (стеклопакеты), обшит. В квартире большой встроенный шкаф для хранения вещей (1,6 м. В длину, зеркальный). В помещении санузла есть место для установки стиральной машины (""колено"" слива не мешает, выполнено впритык к стене). 
Остаётся Всё, Чtо На Фоtо: Мебель На Кухне, С Плитой, Вытяжкой, Холодильником, Душевая Кабина И ДР. Сантехника, Шторы На Окнах ""день-ночь"" и т. Д.). В доме центральное отопление, в квартире 3 батареи. Tри окна на солнечную сторону (восток, юг), потому квартира светлая. 
Один взрослый собственник (я). Без ограничений, без обременений, без залогов. Выгодная локация объекта. 
Агентам-риэлторам: не звоните без толку! (Просмотр только с покупателями). 

*квартира у озера, около озера, первая береговая линия.",4480000
4,3,63.3,2,16,"Питкярантская ул., 10",р-н Кукковка,Агентство,2022-03-07,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_633_m_216_et._2308619980,"Подбираете новую квартиру, но еще не продали свою? Мы поможем вам в этом! 
Продается 3-комнатная квартира, 63,3 м², на 2-м этаже 16-ти этажного панельного дома в микрорайоне «Кукковка». 

Данную квартиру можно приобрести в ипотеку или с использованием материнского капитала, либо при помощи любых других сертификатов. 

Удобная, современная планировка. 

Раздельный сантехнический узел. 

Большая гостиная с большим окном. 

Просторная спальня и детская. 

Лоджия. 

Панельный дом, с хорошей шумоизоляцией. 

Квартира очень тёплая, сухая, не торцевая. 

Без посторонних запахов. 

Пластиковые окна. 

Чугунные батареи. 

Центральное водоснабжение и отопление. 

Один взрослый собственник. Быстрое освобождение! 

Остаётся кухня, техника и мебель. Забираем кровать в спальне и микроволновку. 

В шаговой доступности всё необходимое для комфортного проживания — детские сады, школы, детская и взрослая поликлиника, семейный магнит, банки и другие сетевые магазины, Беличий парк. 

Объект № 550820.
Многофункциональный центр недвижимости (Мфцн) оказывает полный спектр профессиональных решений в сфере недвижимости: 
- Купля-продажа вторичного жилья, полное юридическое сопровождение сделок любой сложности;
- Сертификат безопасности сделки;
- Полис защиты новосёла при приобретении новостройки;
- Профессиональная приёмка квартиры у застройщика;
- Ипотечное кредитование от ведущих банков-партнёров, страхование;
- Оформление перепланировки в соответствии с Законодательством;
- Прием документов специалистом Гбу Мфц;
- Петрозаводский кадастр недвижимости;
- оценка недвижимости. 

Ознакомиться со всеми предложениями Вы можете, перейдя по ссылке в наш магазин Мфцн, которая находится под данным объявлением, а также справа от объявления. 

Номер объекта: #2/550820/6805.",6500000
5,2,44.5,1,5,"Морозный пр., 3",р-н Древлянка,Агентство,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_445m_15et._2352379632,"Продается 2-х комн. Кв. На Морозном проезде, 3. 1/5, 44,5 кв. М. Раздельные комнаты 18 и 10 кв. М. +кухня 8 кв. М. Окна на одну сторону. С/у разд. В кафеле. Дом 2017 года постройки. Состояние квартиры обычное. Большое преимущество дома-газовое отопление и водоснабжение, регулировка воды и тепла в квартире. Вода подается со скважины. Низкие коммунальные платежи, зимой все вместе 2000 рублей. Так же под квартирой имеется свое подвальное помещение. Новый район с хорошо развитой инфраструктурой, рядом новая школа, дет. Сад, магазины, конечная остановка общественного транспорта и др.",3999666
6,2,44.0,5,17,"Кемская ул., 21",р-н Ключевая,Агентство,2022-03-03,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_44m_517et._2330199943,"Уважаемые покупатели вашему вниманию предлагается отличный вариант 2х комнатной квартиры с ремонтом. Ул. Кемская, д.21 15/17 эт., общая площадь 44 м2, лоджия 6,5 м. Квартира освобождена и готова к продаже. Хорошее месторасположение — рядом магазины, Магнит, остановка, школа, дет. Сад. Красивый вид из окна. 

Рядом с домом находится всеми полюбившаяся здравница Белые ключи, можно купить курсовку и проходить процедуры, практически не отходя от. 

За домом начинается лыжная трасса, лесной массив с родниками. Вода чистая, пригодная для питья. 

Двор облагорожен, есть футбольная и детская площадка. 

Скидка 0,3 процента по ипотеке. 

Если вам понравился вариант, но у вас ещё не продана своя недвижимость, поможем быстро и выгодно ее реализовать. Рассмотрим обмен.",4150000
7,2,47.1,4,5,"пр-д Художников Авдышевых, д. 9",Петрозаводск,Собственик,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_471m_45et._2348612635,,5800000
8,3,55.2,1,5,"ул. Самуила Маршака, д. 4",Петрозаводск,Собственик,2022-03-07,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_552m_15et._2354232933,,4968000
9,2,38.0,4,16,"ул. Профсоюзов, д. 10",Петрозаводск,Собственик,2022-03-07,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_38m_416et._2350731572,,3850000
